Edge TPU Compiler version 16.0.384591198
Input: tflite/full_int_quant/spaghettinet_qat_int8.tflite
Output: tflite/full_int_quant/spaghettinet_qat_int8_edgetpu.tflite

Operator                       Count      Status

DEPTHWISE_CONV_2D              37         Mapped to Edge TPU
STRIDED_SLICE                  10         Mapped to Edge TPU
CONCATENATION                  7          Mapped to Edge TPU
MAX_POOL_2D                    3          Mapped to Edge TPU
RESHAPE                        11         Mapped to Edge TPU
CUSTOM                         1          Operation is working on an unsupported data type
ADD                            25         Mapped to Edge TPU
CONV_2D                        91         Mapped to Edge TPU
LOGISTIC                       1          Mapped to Edge TPU
RESIZE_NEAREST_NEIGHBOR        3          Mapped to Edge TPU
SLICE                          19         Mapped to Edge TPU
