,Unnamed: 0,filename,width,height,class,xmin,ymin,xmax,ymax
8649,8649,img010833.jpg,1920,1200,1,813,532,1322,720
5984,5984,img007482.jpg,1920,1200,1,723,182,1628,828
147,147,img000184.jpg,1920,1200,1,831,449,1062,692
5446,5446,img006812.jpg,1920,1200,1,809,650,1009,882
3366,3366,img004223.jpg,1920,1200,1,934,354,1156,785
4207,4207,img005278.jpg,1920,1200,1,859,600,1012,756
943,943,img001183.jpg,1920,1200,1,704,316,963,695
8562,8562,img010724.jpg,1920,1200,1,922,688,1038,817
5704,5704,img007133.jpg,1920,1200,1,667,282,1222,731
4662,4662,img005845.jpg,1920,1200,1,826,364,1028,680
11677,11677,img014599.jpg,1920,1200,1,909,476,1422,838
1738,1738,img002208.jpg,1920,1200,1,872,306,1038,695
6310,6310,img007899.jpg,1920,1200,1,926,593,1058,695
6781,6781,img008478.jpg,1920,1200,1,794,394,1292,610
2573,2573,img003238.jpg,1920,1200,1,611,98,1262,665
5103,5103,img006396.jpg,1920,1200,1,791,471,1114,774
1430,1430,img001832.jpg,1920,1200,1,782,224,1263,883
8788,8788,img011009.jpg,1920,1200,1,948,489,1152,648
8851,8851,img011081.jpg,1920,1200,1,661,657,944,860
8259,8259,img010346.jpg,1920,1200,1,749,360,1085,891
9238,9238,img011568.jpg,1920,1200,1,865,-12,1606,1202
5538,5538,img006928.jpg,1920,1200,1,794,474,1092,735
1566,1566,img002011.jpg,1920,1200,1,915,457,1023,578
2203,2203,img002777.jpg,1920,1200,1,744,328,1523,841
8238,8238,img010318.jpg,1920,1200,1,945,417,1219,718
10320,10320,img012915.jpg,1920,1200,1,911,315,1122,759
5603,5603,img007004.jpg,1920,1200,1,549,289,1207,813
8028,8028,img010061.jpg,1920,1200,1,812,480,1027,719
11646,11646,img014554.jpg,1920,1200,1,771,522,944,635
1192,1192,img001509.jpg,1920,1200,1,698,544,998,682
9393,9393,img011756.jpg,1920,1200,1,463,133,1191,700
4528,4528,img005677.jpg,1920,1200,1,602,278,1325,1073
2409,2409,img003028.jpg,1920,1200,1,504,175,1500,1117
8082,8082,img010121.jpg,1920,1200,1,778,304,1382,1090
6088,6088,img007611.jpg,1920,1200,1,901,401,1171,915
11882,11882,img014857.jpg,1920,1200,1,816,138,1362,1112
4170,4170,img005234.jpg,1920,1200,1,712,353,1027,815
662,662,img000835.jpg,1920,1200,1,630,640,1054,868
8279,8279,img010374.jpg,1920,1200,1,927,683,1118,817
4492,4492,img005631.jpg,1920,1200,1,294,1,1562,1257
8652,8652,img010837.jpg,1920,1200,1,890,394,1071,644
10639,10639,img013319.jpg,1920,1200,1,801,396,1035,676
7122,7122,img008914.jpg,1920,1200,1,754,448,1241,987
4429,4429,img005555.jpg,1920,1200,1,885,568,1087,777
4766,4766,img005981.jpg,1920,1200,1,596,272,1125,848
1799,1799,img002283.jpg,1920,1200,1,911,405,1240,979
2511,2511,img003164.jpg,1920,1200,1,851,699,969,813
6984,6984,img008740.jpg,1920,1200,1,766,461,1009,699
1287,1287,img001635.jpg,1920,1200,1,768,351,1042,592
9038,9038,img011316.jpg,1920,1200,1,311,109,1554,1195
10950,10950,img013718.jpg,1920,1200,1,771,285,1249,591
523,523,img000663.jpg,1920,1200,1,575,339,1459,1174
1638,1638,img002095.jpg,1920,1200,1,1033,572,1175,867
6501,6501,img008138.jpg,1920,1200,1,769,608,1147,779
11886,11886,img014862.jpg,1920,1200,1,967,561,1146,793
5181,5181,img006489.jpg,1920,1200,1,761,294,971,612
9469,9469,img011852.jpg,1920,1200,1,888,70,1245,799
8501,8501,img010652.jpg,1920,1200,1,826,548,1053,833
7903,7903,img009912.jpg,1920,1200,1,515,75,1152,1163
7834,7834,img009827.jpg,1920,1200,1,793,483,1387,1080
4232,4232,img005307.jpg,1920,1200,1,734,381,923,529
5398,5398,img006748.jpg,1920,1200,1,923,521,1019,723
9533,9533,img011929.jpg,1920,1200,1,851,295,1208,605
5622,5622,img007026.jpg,1920,1200,1,896,438,1006,631
1472,1472,img001883.jpg,1920,1200,1,626,560,1019,746
1849,1849,img002348.jpg,1920,1200,1,729,679,1505,1075
58,58,img000070.jpg,1920,1200,1,738,341,1120,936
1952,1952,img002472.jpg,1920,1200,1,720,470,1114,794
5738,5738,img007174.jpg,1920,1200,1,736,440,924,703
3724,3724,img004668.jpg,1920,1200,1,753,482,922,656
2394,2394,img003011.jpg,1920,1200,1,740,547,1003,890
3331,3331,img004179.jpg,1920,1200,1,879,539,1179,791
11262,11262,img014090.jpg,1920,1200,1,963,493,1164,750
9942,9942,img012444.jpg,1920,1200,1,720,581,978,877
4598,4598,img005767.jpg,1920,1200,1,807,605,1230,782
6766,6766,img008457.jpg,1920,1200,1,696,545,1126,914
5770,5770,img007215.jpg,1920,1200,1,651,259,1519,1326
6092,6092,img007616.jpg,1920,1200,1,910,332,1311,822
9774,9774,img012232.jpg,1920,1200,1,858,322,1126,622
11581,11581,img014478.jpg,1920,1200,1,644,164,1066,1116
287,287,img000373.jpg,1920,1200,1,375,418,1187,1305
5424,5424,img006780.jpg,1920,1200,1,558,87,1390,658
1661,1661,img002124.jpg,1920,1200,1,915,490,1199,814
684,684,img000863.jpg,1920,1200,1,772,640,931,734
3908,3908,img004898.jpg,1920,1200,1,774,686,1002,1037
2773,2773,img003491.jpg,1920,1200,1,737,494,1023,745
2057,2057,img002596.jpg,1920,1200,1,781,455,1055,711
9713,9713,img012153.jpg,1920,1200,1,630,554,831,821
4992,4992,img006267.jpg,1920,1200,1,465,381,1510,861
7693,7693,img009659.jpg,1920,1200,1,894,524,1096,1011
10560,10560,img013216.jpg,1920,1200,1,729,461,962,787
6862,6862,img008585.jpg,1920,1200,1,847,522,1073,734
9840,9840,img012318.jpg,1920,1200,1,807,166,1351,698
157,157,img000198.jpg,1920,1200,1,597,209,1457,668
197,197,img000258.jpg,1920,1200,1,805,628,920,829
5138,5138,img006437.jpg,1920,1200,1,698,349,1194,957
844,844,img001060.jpg,1920,1200,1,697,486,992,724
8662,8662,img010853.jpg,1920,1200,1,813,528,1095,746
682,682,img000861.jpg,1920,1200,1,870,433,1034,585
1241,1241,img001576.jpg,1920,1200,1,747,589,1016,908
10716,10716,img013421.jpg,1920,1200,1,776,407,1058,590
1439,1439,img001841.jpg,1920,1200,1,667,497,1230,862
11285,11285,img014116.jpg,1920,1200,1,721,420,1219,896
9476,9476,img011863.jpg,1920,1200,1,556,326,1424,754
5173,5173,img006480.jpg,1920,1200,1,797,578,1028,672
7029,7029,img008796.jpg,1920,1200,1,791,487,1091,671
9339,9339,img011688.jpg,1920,1200,1,885,496,1192,763
8993,8993,img011258.jpg,1920,1200,1,844,310,1098,661
9025,9025,img011295.jpg,1920,1200,1,856,401,1255,532
1058,1058,img001331.jpg,1920,1200,1,480,407,1106,972
3031,3031,img003807.jpg,1920,1200,1,760,649,988,829
4500,4500,img005641.jpg,1920,1200,1,507,563,1183,897
10244,10244,img012821.jpg,1920,1200,1,774,515,953,618
6216,6216,img007782.jpg,1920,1200,1,696,590,1301,842
9321,9321,img011666.jpg,1920,1200,1,867,536,1039,824
1069,1069,img001342.jpg,1920,1200,1,648,527,1269,792
8825,8825,img011053.jpg,1920,1200,1,563,130,1477,939
11560,11560,img014453.jpg,1920,1200,1,736,355,1015,565
9278,9278,img011617.jpg,1920,1200,1,673,378,1237,971
329,329,img000425.jpg,1920,1200,1,842,567,1028,819
9610,9610,img012017.jpg,1920,1200,1,880,511,1092,647
10905,10905,img013657.jpg,1920,1200,1,830,438,1102,885
3038,3038,img003817.jpg,1920,1200,1,822,52,1314,950
10189,10189,img012756.jpg,1920,1200,1,824,248,1134,572
3044,3044,img003824.jpg,1920,1200,1,843,554,1009,643
9613,9613,img012021.jpg,1920,1200,1,826,599,1072,770
5834,5834,img007302.jpg,1920,1200,1,820,319,1120,817
2779,2779,img003499.jpg,1920,1200,1,733,271,1327,744
6794,6794,img008496.jpg,1920,1200,1,787,670,1138,926
6209,6209,img007771.jpg,1920,1200,1,882,488,1065,706
540,540,img000685.jpg,1920,1200,1,601,322,855,756
4568,4568,img005728.jpg,1920,1200,1,745,398,933,589
2643,2643,img003323.jpg,1920,1200,1,800,412,1208,776
9639,9639,img012052.jpg,1920,1200,1,880,451,1029,636
8030,8030,img010063.jpg,1920,1200,1,804,448,1047,544
3619,3619,img004530.jpg,1920,1200,1,627,575,1075,796
9953,9953,img012459.jpg,1920,1200,1,606,499,1043,885
8806,8806,img011029.jpg,1920,1200,1,996,314,1414,900
4542,4542,img005696.jpg,1920,1200,1,843,527,1071,624
4311,4311,img005407.jpg,1920,1200,1,817,363,1030,545
2688,2688,img003387.jpg,1920,1200,1,869,545,1382,809
11013,11013,img013790.jpg,1920,1200,1,673,238,1085,492
7883,7883,img009886.jpg,1920,1200,1,781,504,945,660
7955,7955,img009975.jpg,1920,1200,1,944,182,1113,626
